ProjectAccession,File, ExclusionReason
PXD001593,75CWS_1apr10undigestedF059901.mzid.gz,No MS:1002511 CV param found
PXD003532,Experimentmaxquantresults_22_2w1fromQEPlus2_12172015_22_2w1.mzid.gz,No MS:1002511 CV param found
PXD003718,nativecoIPonORF102108_scaffiold_mascot_giardia.mzid.gz,No MS:1002511 CV param found
PXD004473,CW2098_mzIdentML.mzid,No MS:1002511 CV param found
PXD004583,20130828sr_5195_nonrev_c_2F238826.mzid.gz,No MS:1002511 CV param found
PXD004722,p3.mzid,No MS:1002511 CV param found
PXD005461,OBJ7470_F058521.mzid.gz,No MS:1002511 CV param found
PXD005786,272209_293_ZNF532_CBioTAP_IP.mzid,No MS:1002511 CV param found
PXD006079,273479_42977.mzid,No MS:1002511 CV param found
PXD006938,2_NFS1-Fxn-IscU_MarkleyF016506.mzid.gz,No MS:1002511 CV param found
PXD007716,F074077.mzid.gz,No MS:1002511 CV param found
PXD007836,peptides_1_1_0.mzid.gz,No MS:1002511 CV param found
PXD008680,20140107U2OSCytoD_B_F019267.mzid,No MS:1002511 CV param found
PXD009239,FileName_DCP-SM-3Phos3.rawF031157.mzid.gz,No MS:1002511 CV param found
PXD009641,ID16365_01_E749_3008_030315F056130.mzid.gz,No MS:1002511 CV param found
PXD012225,Mudpit_20180316_LSchmitt_invivoclot1_HCDFTF101896.mzid.gz,No MS:1002511 CV param found
PXD012466,mapeixiang-NSSO-3.mzid.gz,No MS:1002511 CV param found
PXD012753,F009919_MouseSkinDermis_Urea_YoungOldOVX.mzid.gz,No MS:1002511 CV param found
PXD012754,F010084_MouseSkinDermis_NaCl_YoungOld.mzid.gz,No MS:1002511 CV param found
PXD012759,PR2.mzid,No MS:1002511 CV param found
PXD013890,20151203lc_8000_7723_1F228833.mzid.gz,No MS:1002511 CV param found
PXD013896,20170823lc_9968_17195_7F255991.mzid.gz,No MS:1002511 CV param found
PXD013897,20170907lc_10007_16653_05F256529.mzid.gz,No MS:1002511 CV param found
PXD013899,20160108lc_8081_42357_5F229979.mzid.gz,No MS:1002511 CV param found
PXD014142,GPM00500045194.mzid.gz,No MS:1002511 CV param found
PXD014359,C_Lee_141014_CRM_dialysis_NCE28_2.mzid,Incorrect Spectra data reference C_Lee_141014_CRM_dialysis_NCE28_2.raw
PXD014520,B160812_12_Lumos_LK_IN_190_Francis_Rib_Fra_HCD_DT_3.mzid,Incorrect Spectra data reference B160812_12_Lumos_LK_IN_190_Francis_Rib_Fra_HCD_DT_3.raw
PXD014523,xQuest_BSA_DSS_HCD.mzid,xQuest_BSA_DSS_HCD.mzid:88570: Schemas validity error : Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': No match found for key-sequence ['MS'] of keyref '{http://psidev.info/psi/pi/mzIdentML/1.2}FK_CVlist5'. | xQuest_BSA_DSS_HCD.mzid fails to validate | File xQuest_BSA_DSS_HCD.mzid is sc...
PXD015037,SQFT35A2_peptides_1_1_0.mzid,No MS:1002511 CV param found
PXD015981,H_FFPE_1B.mzid.gz,No MS:1002511 CV param found
PXD015982,20160605_Fisher_Skin_1257_3050_forearm_CHAPS_01F100800.mzid.gz,No MS:1002511 CV param found
PXD016224,190621_JJanetzko_Kobilka_9905_JJ4.raw_20191106_Byonic.mzid.gz,No MS:1002511 CV param found
PXD016442,20190124rs_11676_HA10299_6F272364.mzid.gz,No MS:1002511 CV param found
PXD016446,20180911rs_11287_WB_5F268353.mzid.gz,No MS:1002511 CV param found
PXD016448,20190819_rs_12428_WB_A_FTHCDF279679.mzid.gz,No MS:1002511 CV param found
PXD016487,20180625rs_HA_CHMP7_2_180626220839F265651.mzid.gz,No MS:1002511 CV param found
PXD017290,Mudpit_MassSpectrumF001689.mzid.gz,No MS:1002511 CV param found
PXD017792,XLG729RE1aE2o.mzid.gz,No MS:1002511 CV param found
PXD017873,20200302_072815_CK_X02_01.raw.mzid.gz,No MS:1002511 CV param found
PXD018291,pDSPE-Ecoli-chargestate-3-7.mzid.gz,No MS:1002511 CV param found
PXD018600,CSL9686A8RW2_C2_115_peptides_1_1_0.mzid.gz,No MS:1002511 CV param found
PXD018687,SHR72_4_DC190_02.mzid.gz,No MS:1002511 CV param found
PXD018701,180209_A9.mzid.gz,No MS:1002511 CV param found
PXD018935,Ribosome_2A.mzid,No MS:1002511 CV param found
PXD019017,TRY_AMPK_DSSO_XL-MS.mzid,No MS:1002511 CV param found
